location,crimeindex
"42.25,-83.23",0
"42.25,-83.21",0
"42.25,-83.19",0
"42.25,-83.17",0
"42.25,-83.15",0
"42.25,-83.13",0
"42.25,-83.11",0
"42.25,-83.09",0
"42.25,-83.07",0
"42.25,-83.05",0
"42.25,-83.03",0
"42.25,-83.01",0
"42.25,-82.99",0
"42.25,-82.97",0
"42.25,-82.95",0
"42.25,-82.93",0
"42.25,-82.91",0
"42.25,-82.89",0
"42.27,-83.23",0
"42.27,-83.21",0
"42.27,-83.19",0
"42.27,-83.17",2
"42.27,-83.15",11
"42.27,-83.13",0
"42.27,-83.11",0
"42.27,-83.09",0
"42.27,-83.07",0
"42.27,-83.05",0
"42.27,-83.03",0
"42.27,-83.01",0
"42.27,-82.99",0
"42.27,-82.97",0
"42.27,-82.95",0
"42.27,-82.93",0
"42.27,-82.91",0
"42.27,-82.89",0
"42.29,-83.23",0
"42.29,-83.21",0
"42.29,-83.19",0
"42.29,-83.17",1
"42.29,-83.15",1
"42.29,-83.13",10
"42.29,-83.11",0
"42.29,-83.09",0
"42.29,-83.07",0
"42.29,-83.05",0
"42.29,-83.03",0
"42.29,-83.01",0
"42.29,-82.99",0
"42.29,-82.97",0
"42.29,-82.95",0
"42.29,-82.93",0
"42.29,-82.91",0
"42.29,-82.89",0
"42.31,-83.23",0
"42.31,-83.21",0
"42.31,-83.19",0
"42.31,-83.17",0
"42.31,-83.15",1
"42.31,-83.13",29
"42.31,-83.11",11
"42.31,-83.09",14
"42.31,-83.07",1
"42.31,-83.05",0
"42.31,-83.03",0
"42.31,-83.01",0
"42.31,-82.99",0
"42.31,-82.97",0
"42.31,-82.95",0
"42.31,-82.93",0
"42.31,-82.91",0
"42.31,-82.89",0
"42.33,-83.23",13
"42.33,-83.21",4
"42.33,-83.19",1
"42.33,-83.17",0
"42.33,-83.15",15
"42.33,-83.13",21
"42.33,-83.11",18
"42.33,-83.09",12
"42.33,-83.07",12
"42.33,-83.05",43
"42.33,-83.03",8
"42.33,-83.01",0
"42.33,-82.99",0
"42.33,-82.97",0
"42.33,-82.95",0
"42.33,-82.93",0
"42.33,-82.91",0
"42.33,-82.89",0
"42.35,-83.23",38
"42.35,-83.21",29
"42.35,-83.19",21
"42.35,-83.17",8
"42.35,-83.15",11
"42.35,-83.13",16
"42.35,-83.11",19
"42.35,-83.09",4
"42.35,-83.07",25
"42.35,-83.05",33
"42.35,-83.03",16
"42.35,-83.01",10
"42.35,-82.99",11
"42.35,-82.97",0
"42.35,-82.95",0
"42.35,-82.93",0
"42.35,-82.91",0
"42.35,-82.89",0
"42.37,-83.23",40
"42.37,-83.21",22
"42.37,-83.19",18
"42.37,-83.17",32
"42.37,-83.15",20
"42.37,-83.13",19
"42.37,-83.11",14
"42.37,-83.09",22
"42.37,-83.07",9
"42.37,-83.05",4
"42.37,-83.03",5
"42.37,-83.01",19
"42.37,-82.99",5
"42.37,-82.97",6
"42.37,-82.95",13
"42.37,-82.93",2
"42.37,-82.91",0
"42.37,-82.89",0
"42.39,-83.23",20
"42.39,-83.21",27
"42.39,-83.19",21
"42.39,-83.17",17
"42.39,-83.15",19
"42.39,-83.13",34
"42.39,-83.11",20
"42.39,-83.09",11
"42.39,-83.07",3
"42.39,-83.05",0
"42.39,-83.03",5
"42.39,-83.01",4
"42.39,-82.99",7
"42.39,-82.97",25
"42.39,-82.95",20
"42.39,-82.93",6
"42.39,-82.91",0
"42.39,-82.89",0
"42.41,-83.23",7
"42.41,-83.21",27
"42.41,-83.19",42
"42.41,-83.17",45
"42.41,-83.15",27
"42.41,-83.13",13
"42.41,-83.11",5
"42.41,-83.09",1
"42.41,-83.07",9
"42.41,-83.05",17
"42.41,-83.03",7
"42.41,-83.01",11
"42.41,-82.99",13
"42.41,-82.97",17
"42.41,-82.95",27
"42.41,-82.93",21
"42.41,-82.91",5
"42.41,-82.89",0
"42.43,-83.23",40
"42.43,-83.21",30
"42.43,-83.19",24
"42.43,-83.17",30
"42.43,-83.15",30
"42.43,-83.13",14
"42.43,-83.11",17
"42.43,-83.09",12
"42.43,-83.07",17
"42.43,-83.05",31
"42.43,-83.03",14
"42.43,-83.01",11
"42.43,-82.99",25
"42.43,-82.97",19
"42.43,-82.95",17
"42.43,-82.93",9
"42.43,-82.91",0
"42.43,-82.89",0